system:index,B_max,B_mean,B_p20,B_stdDev,Class,G_max,G_mean,G_p20,G_stdDev,NDVI_max,NDVI_mean,NDVI_p20,NDVI_stdDev,N_max,N_mean,N_p20,N_stdDev,R_max,R_mean,R_p20,R_stdDev,random,sum,.geo
0000000000000000000a,124.0,106.8,84.0,20.390194,1,144.0,110.4,89.0,23.225847,0.45531914,0.3003488,0.17736408,0.12147896,188.0,150.6,123.0,27.141113,110.0,81.2,61.5,20.193068,0.8078858816511719,1.0,"{""type"":""Point"",""coordinates"":[-71.46303390407338,42.964647066336525]}"
0000000000000000000b,150.0,127.2,103.5,23.421358,1,179.0,166.8,154.0,11.1606455,0.32903227,0.18654343,0.07159945,0.104908496,222.0,200.8,183.5,16.773788,185.0,139.0,115.5,26.495283,0.9451285585664377,1.0,"{""type"":""Point"",""coordinates"":[-71.4638766741725,42.9589973853018]}"
0000000000000000000c,151.0,121.4,97.5,23.139576,0,164.0,142.8,127.5,13.905395,0.4681648,0.30104855,0.17798553,0.12855464,218.0,197.0,177.5,19.37008,138.0,106.8,83.0,23.361507,0.8546956131239553,0.0,"{""type"":""Point"",""coordinates"":[-71.48740289133048,42.986483284195245]}"
0000000000000000000d,155.0,125.4,103.0,22.957352,0,172.0,136.2,105.5,30.115776,0.29051986,0.089584924,-0.081879735,0.16754918,211.0,154.6,106.0,54.039246,163.0,121.8,85.5,35.130615,0.9678762951662354,0.0,"{""type"":""Point"",""coordinates"":[-71.42645589813198,43.01208744244414]}"
0000000000000000000e,139.0,125.8,109.5,17.769636,0,167.0,151.6,139.0,11.146299,0.2846154,0.16520977,0.107701525,0.06760457,212.0,179.8,162.5,19.38453,149.0,129.6,109.5,19.975986,0.9278700954476302,0.0,"{""type"":""Point"",""coordinates"":[-71.48960568725087,43.01935131806019]}"
0000000000000000000f,153.0,135.9,119.5,13.841604,0,188.0,158.5,138.0,18.453997,0.4557377,0.22629808,0.13012478,0.12457145,222.0,196.6,175.0,20.771133,146.0,124.55,100.0,22.859299,0.9990473646364919,0.0,"{""type"":""Point"",""coordinates"":[-71.49769003746077,42.937723014175816]}"
00000000000000000010,152.0,123.1,101.5,24.039343,0,174.0,154.7,132.5,20.070127,0.38345864,0.21342155,0.10253379,0.11542661,224.0,191.8,167.5,23.953287,154.0,125.8,97.5,27.102768,0.9264459633743357,0.0,"{""type"":""Point"",""coordinates"":[-71.45336657298952,42.99879932130487]}"
00000000000000000011,151.0,130.5,110.5,18.953892,0,169.0,156.0,148.5,8.037413,0.2882353,0.20270018,0.1395622,0.068266146,219.0,189.4,166.5,21.601852,142.0,124.9,116.0,10.014489,0.7668957026181882,0.0,"{""type"":""Point"",""coordinates"":[-71.44428784324471,42.99797438760998]}"
00000000000000000012,158.0,127.3,101.0,26.19561,0,167.0,147.3,133.0,14.34608,0.38047138,0.24598804,0.1091821,0.12827916,217.0,196.4,175.5,18.304098,157.0,120.7,88.5,27.942978,0.8070958706366321,0.0,"{""type"":""Point"",""coordinates"":[-71.43548111866414,42.98258602987453]}"
00000000000000000013,146.0,119.8,101.5,19.363884,0,160.0,134.2,107.5,28.79861,0.40789473,0.13049814,-0.07163254,0.2148453,214.0,160.4,103.0,61.749817,163.0,111.8,78.5,34.37092,0.7472192005979957,0.0,"{""type"":""Point"",""coordinates"":[-71.45889139919474,43.02707894018582]}"
00000000000000000014,163.0,141.2,117.5,27.440117,0,174.0,161.8,146.5,13.658697,0.31914893,0.09958285,-0.011217008,0.1260605,196.0,177.8,163.5,16.079802,176.0,147.8,114.5,29.949291,0.7705764593188429,0.0,"{""type"":""Point"",""coordinates"":[-71.40912783143828,42.92403357394173]}"
00000000000000000015,153.0,131.8,102.5,31.555666,0,165.0,148.0,130.0,17.20465,0.43650794,0.0635709,-0.06936792,0.19047101,181.0,156.6,141.0,15.344054,175.0,142.0,107.0,36.954025,0.7427999229968635,0.0,"{""type"":""Point"",""coordinates"":[-71.45727720461339,42.96257804344773]}"
00000000000000000016,161.0,132.8,103.5,31.650593,0,173.0,151.0,133.5,19.339079,0.44,0.13815936,0.004855769,0.1639919,202.0,176.4,162.0,14.840486,166.0,137.4,106.0,34.5462,0.8362656580813751,0.0,"{""type"":""Point"",""coordinates"":[-71.45402206084438,42.956509206913985]}"
00000000000000000017,180.0,133.0,103.0,31.067669,0,158.0,140.8,127.5,13.40746,0.32475883,0.12642579,-0.10624766,0.21091564,206.0,163.0,122.5,39.884834,151.0,123.0,99.5,21.881498,0.79824193554004,0.0,"{""type"":""Point"",""coordinates"":[-71.44863546677182,42.91148566357734]}"
00000000000000000018,168.0,133.8,108.5,26.141155,0,176.0,149.4,131.0,20.045948,0.2682927,0.104114115,-0.017404426,0.11754298,207.0,172.0,143.5,26.099808,180.0,141.0,106.0,31.221786,0.8086094538094966,0.0,"{""type"":""Point"",""coordinates"":[-71.42523410444335,42.98052592518784]}"
00000000000000000019,231.0,183.4,165.0,24.516117,0,241.0,185.0,164.5,29.223278,-0.24870466,-0.33909675,-0.4402616,0.086958885,145.0,90.8,69.5,28.888752,241.0,180.2,151.5,33.379036,0.857366085847697,0.0,"{""type"":""Point"",""coordinates"":[-71.45421380218967,42.95914007653551]}"
0000000000000000001a,193.0,164.0,135.0,28.975853,0,209.0,179.2,157.0,24.652788,-0.19148937,-0.2641525,-0.33679342,0.06342846,133.0,106.0,90.5,17.378147,216.0,183.2,155.0,31.205128,0.8570626434184638,0.0,"{""type"":""Point"",""coordinates"":[-71.44299024483816,43.0173491816872]}"
0000000000000000001b,250.0,211.6,188.5,23.3118,0,254.0,214.4,195.5,21.54623,-0.098445594,-0.23131749,-0.31958333,0.08340916,174.0,133.0,115.0,23.400854,252.0,211.6,195.0,21.322289,0.9325787887108622,0.0,"{""type"":""Point"",""coordinates"":[-71.46440730719785,43.00494396255651]}"
0000000000000000001c,159.0,154.0,150.5,3.5777087,0,171.0,142.4,128.0,17.442476,-0.29533678,-0.46957564,-0.6357414,0.14874986,82.0,51.8,28.0,21.572205,165.0,136.4,120.5,16.548111,0.8195821495801879,0.0,"{""type"":""Point"",""coordinates"":[-71.481106640643,42.99100927176449]}"
0000000000000000001d,207.0,182.4,156.0,27.982851,0,215.0,188.2,160.0,31.128122,-0.19512194,-0.26317587,-0.30691597,0.043602023,132.0,108.6,81.5,26.837288,215.0,184.6,151.5,39.296818,0.7470891536254484,0.0,"{""type"":""Point"",""coordinates"":[-71.40069121224516,42.9955486366369]}"
0000000000000000001e,182.0,167.2,151.0,14.386105,0,189.0,162.8,136.5,22.003635,-0.29761904,-0.44573015,-0.5546471,0.114234775,68.0,56.2,45.5,10.342147,175.0,150.0,114.0,29.570255,0.9530814037340846,0.0,"{""type"":""Point"",""coordinates"":[-71.38989126949373,42.946966730659604]}"
