geoid,total_pop,state,county,pctpov,pctpoc,unemplrate,medhhinc,dep_ratio,child_perc,seniorperc,treecanopy,area,source,avg_temp,ua_name,incorpname,congressio,biome,bgpopdense,popadjust,tc_gap,tc_goal,phys_hlth,ment_hlth,asthma,core_m,core_w,core_norm,healthnorm,priority,tes,tesctyscor
"330110101001",497.000000000000000,NH,Hillsborough County,0.197183098591549,0.249496981891348,0.037288135593220,39180.000000000000000,0.702054794520548,0.181086519114688,0.231388329979879,-1.000000000000000,0.900061000000000,ED,82.189990281827022,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,552.184796363801979,1.200000000000000,0.000000000000000,-1.000000000000000,10.000000000000000,12.000000000000000,10.300000000000001,34.100000000000001,31.399999999999999,0.819882498453927,0.373732990540796,0.265024748071412,100.000000000000000,84.952881730008272
"330110101002",602.000000000000000,NH,Hillsborough County,0.061461794019933,0.152823920265781,0.000000000000000,103250.000000000000000,0.559585492227979,0.204318936877076,0.154485049833887,-1.000000000000000,0.611513000000000,ED,85.537479545258805,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,984.443503245229749,1.200000000000000,0.122756572632143,-1.000000000000000,10.000000000000000,12.000000000000000,10.300000000000001,34.100000000000001,31.399999999999999,0.819882498453927,0.373732990540796,0.193420949623504,93.367327246304598,84.952881730008272
"330110101003",1125.000000000000000,NH,Hillsborough County,0.220444444444444,0.305777777777778,0.016759776536313,84861.000000000000000,0.820388349514563,0.257777777777778,0.192888888888889,-1.000000000000000,1.602815000000000,ED,81.744767318756431,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,701.890112084052021,1.200000000000000,0.000000000000000,-1.000000000000000,10.000000000000000,12.000000000000000,10.300000000000001,34.100000000000001,31.399999999999999,0.819882498453927,0.373732990540796,0.271789190071407,100.000000000000000,84.952881730008272
"330110101004",2232.000000000000000,NH,Hillsborough County,0.060224719101124,0.150537634408602,0.049816849816850,117721.000000000000000,0.487008660892738,0.145609318996416,0.181899641577061,-1.000000000000000,2.269138000000000,ED,83.286048442251527,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,983.633432607448412,1.200000000000000,0.000000000000000,-1.000000000000000,10.000000000000000,12.000000000000000,10.300000000000001,34.100000000000001,31.399999999999999,0.819882498453927,0.373732990540796,0.212034704806634,100.000000000000000,84.952881730008272
"330110101005",582.000000000000000,NH,Hillsborough County,0.049828178694158,0.084192439862543,0.055137844611529,93375.000000000000000,0.581521739130435,0.128865979381443,0.238831615120275,-1.000000000000000,0.422170000000000,ED,87.635770988138646,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,1378.591562640642451,1.200000000000000,0.157442736338442,-1.000000000000000,10.000000000000000,12.000000000000000,10.300000000000001,34.100000000000001,31.399999999999999,0.819882498453927,0.373732990540796,0.243406344229083,89.294798960753937,84.952881730008272
"330110102001",3026.000000000000000,NH,Hillsborough County,0.259134973900075,0.177792465300727,0.062321326472270,63036.000000000000000,0.428706326723324,0.223066754791804,0.076999339061467,-1.000000000000000,6.196117000000000,ED,89.202865856017738,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,488.370377770464870,1.200000000000000,0.208353095979304,-1.000000000000000,8.900000000000000,13.000000000000000,10.100000000000000,33.700000000000003,31.500000000000000,0.808132343846630,0.353808572788691,0.314192778673046,81.713252762570818,84.952881730008272
"330110102002",2099.000000000000000,NH,Hillsborough County,0.101476893758933,0.251071939018580,0.039009752438110,68269.000000000000000,0.374590700720367,0.171510242972844,0.101000476417342,-1.000000000000000,1.272323000000000,ED,84.811327310632379,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,1649.738313305661904,1.200000000000000,0.002617291363907,-1.000000000000000,8.900000000000000,13.000000000000000,10.100000000000000,33.700000000000003,31.500000000000000,0.808132343846630,0.353808572788691,0.233087672478933,99.829583484074320,84.952881730008272
"330110102003",2683.000000000000000,NH,Hillsborough County,0.204760105780128,0.341408870667164,0.012352309344791,84483.000000000000000,0.306867998051632,0.144614237793515,0.090197540067089,-1.000000000000000,2.669373000000000,ED,84.947533071955021,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,1005.104944119836432,1.200000000000000,0.000000000000000,-1.000000000000000,8.900000000000000,13.000000000000000,10.100000000000000,33.700000000000003,31.500000000000000,0.808132343846630,0.353808572788691,0.248201257419526,100.000000000000000,84.952881730008272
"330110103011",1757.000000000000000,NH,Hillsborough County,0.071143995446784,0.091633466135458,0.027343750000000,108167.000000000000000,0.613406795224977,0.177006260671599,0.203187250996016,-1.000000000000000,1.757094000000000,ED,82.778461665757959,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,999.946502577551541,1.200000000000000,0.000000000000000,-1.000000000000000,9.300000000000001,11.000000000000000,10.100000000000000,35.299999999999997,33.200000000000003,0.926561533704391,0.343220098098596,0.183786902776407,100.000000000000000,84.952881730008272
"330110103012",2934.000000000000000,NH,Hillsborough County,0.104294478527607,0.216428084526244,0.004742145820984,106286.000000000000000,0.638190954773869,0.209952283571915,0.179618268575324,-1.000000000000000,1.998647000000000,ED,84.143498217651242,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,1467.993097330343971,1.200000000000000,0.052853035078230,-1.000000000000000,9.300000000000001,11.000000000000000,10.100000000000000,35.299999999999997,33.200000000000003,0.926561533704391,0.343220098098596,0.212370704135516,96.864514162746246,84.952881730008272
